Variant_name,Run_Batch,Variant_path,date_created,date_loaded,FSW_rows,Simulation_columns,FSW_columns,Scenario,Month,Time_offset,Description,data_file
1_0.0_-50,Firesat_Attack_RWA,Firesat_Attack_RWA/FireSat_updated_1_0.0_-50.xml_logs,2025-08-28T19:23:51.195112,2025-08-28T19:24:02.965232,602,69,134,attack_rwa,January,0.0,Firesat_Attack_RWA January Time Offset:0.0,./data/raw/attack_rwa/fsw_data_1_0.0_-50.csv
1_0.0_-25,Firesat_Attack_RWA,Firesat_Attack_RWA/FireSat_updated_1_0.0_-25.xml_logs,2025-08-28T19:24:03.064133,2025-08-28T19:24:14.810245,602,69,134,attack_rwa,January,0.0,Firesat_Attack_RWA January Time Offset:0.0,./data/raw/attack_rwa/fsw_data_1_0.0_-25.csv
1_0.0_0,Firesat_Attack_RWA,Firesat_Attack_RWA/FireSat_updated_1_0.0_0.xml_logs,2025-08-28T19:24:14.907324,2025-08-28T19:24:26.664286,602,69,134,attack_rwa,January,0.0,Firesat_Attack_RWA January Time Offset:0.0,./data/raw/attack_rwa/fsw_data_1_0.0_0.csv
1_0.0_25,Firesat_Attack_RWA,Firesat_Attack_RWA/FireSat_updated_1_0.0_25.xml_logs,2025-08-28T19:24:26.769401,2025-08-28T19:24:38.527437,602,69,134,attack_rwa,January,0.0,Firesat_Attack_RWA January Time Offset:0.0,./data/raw/attack_rwa/fsw_data_1_0.0_25.csv
1_0.0_50,Firesat_Attack_RWA,Firesat_Attack_RWA/FireSat_updated_1_0.0_50.xml_logs,2025-08-28T19:24:38.623298,2025-08-28T19:24:50.380090,602,69,134,attack_rwa,January,0.0,Firesat_Attack_RWA January Time Offset:0.0,./data/raw/attack_rwa/fsw_data_1_0.0_50.csv
1_36.0_-50,Firesat_Attack_RWA,Firesat_Attack_RWA/FireSat_updated_1_36.0_-50.xml_logs,2025-08-28T19:24:50.476712,2025-08-28T19:25:03.242410,602,69,134,attack_rwa,January,36.0,Firesat_Attack_RWA January Time Offset:36.0,./data/raw/attack_rwa/fsw_data_1_36.0_-50.csv
1_36.0_-25,Firesat_Attack_RWA,Firesat_Attack_RWA/FireSat_updated_1_36.0_-25.xml_logs,2025-08-28T19:25:03.339562,2025-08-28T19:25:16.165555,602,69,134,attack_rwa,January,36.0,Firesat_Attack_RWA January Time Offset:36.0,./data/raw/attack_rwa/fsw_data_1_36.0_-25.csv
1_36.0_0,Firesat_Attack_RWA,Firesat_Attack_RWA/FireSat_updated_1_36.0_0.xml_logs,2025-08-28T19:25:16.266073,2025-08-28T19:25:29.018317,602,69,134,attack_rwa,January,36.0,Firesat_Attack_RWA January Time Offset:36.0,./data/raw/attack_rwa/fsw_data_1_36.0_0.csv
1_36.0_25,Firesat_Attack_RWA,Firesat_Attack_RWA/FireSat_updated_1_36.0_25.xml_logs,2025-08-28T19:25:29.125272,2025-08-28T19:25:41.967309,602,69,134,attack_rwa,January,36.0,Firesat_Attack_RWA January Time Offset:36.0,./data/raw/attack_rwa/fsw_data_1_36.0_25.csv
1_36.0_50,Firesat_Attack_RWA,Firesat_Attack_RWA/FireSat_updated_1_36.0_50.xml_logs,2025-08-28T19:25:42.060212,2025-08-28T19:25:54.813590,602,69,134,attack_rwa,January,36.0,Firesat_Attack_RWA January Time Offset:36.0,./data/raw/attack_rwa/fsw_data_1_36.0_50.csv
1_72.0_-50,Firesat_Attack_RWA,Firesat_Attack_RWA/FireSat_updated_1_72.0_-50.xml_logs,2025-08-28T19:25:54.942273,2025-08-28T19:26:07.759094,602,69,134,attack_rwa,January,72.0,Firesat_Attack_RWA January Time Offset:72.0,./data/raw/attack_rwa/fsw_data_1_72.0_-50.csv
1_72.0_-25,Firesat_Attack_RWA,Firesat_Attack_RWA/FireSat_updated_1_72.0_-25.xml_logs,2025-08-28T19:26:07.860081,2025-08-28T19:26:20.642590,602,69,134,attack_rwa,January,72.0,Firesat_Attack_RWA January Time Offset:72.0,./data/raw/attack_rwa/fsw_data_1_72.0_-25.csv
1_72.0_0,Firesat_Attack_RWA,Firesat_Attack_RWA/FireSat_updated_1_72.0_0.xml_logs,2025-08-28T19:26:20.743401,2025-08-28T19:26:32.543772,602,69,134,attack_rwa,January,72.0,Firesat_Attack_RWA January Time Offset:72.0,./data/raw/attack_rwa/fsw_data_1_72.0_0.csv
