Variant_name,Run_Batch,Variant_path,date_created,date_loaded,FSW_rows,Simulation_columns,FSW_columns,Scenario,Month,Time_offset,Description,data_file
1_0.0_-50,Firesat_Attack_RWB,Firesat_Attack_RWB/FireSat_updated_1_0.0_-50.xml_logs,2025-08-28T21:29:34.863094,2025-08-28T21:29:46.620183,602,69,134,attack_rwb,January,0.0,Firesat_Attack_RWB January Time Offset:0.0,./data/raw/attack_rwb/fsw_data_1_0.0_-50.csv
1_0.0_-25,Firesat_Attack_RWB,Firesat_Attack_RWB/FireSat_updated_1_0.0_-25.xml_logs,2025-08-28T21:29:46.722698,2025-08-28T21:29:59.534759,602,69,134,attack_rwb,January,0.0,Firesat_Attack_RWB January Time Offset:0.0,./data/raw/attack_rwb/fsw_data_1_0.0_-25.csv
1_0.0_0,Firesat_Attack_RWB,Firesat_Attack_RWB/FireSat_updated_1_0.0_0.xml_logs,2025-08-28T21:29:59.642029,2025-08-28T21:30:12.506505,602,69,134,attack_rwb,January,0.0,Firesat_Attack_RWB January Time Offset:0.0,./data/raw/attack_rwb/fsw_data_1_0.0_0.csv
1_0.0_25,Firesat_Attack_RWB,Firesat_Attack_RWB/FireSat_updated_1_0.0_25.xml_logs,2025-08-28T21:30:12.609289,2025-08-28T21:30:25.429050,602,69,134,attack_rwb,January,0.0,Firesat_Attack_RWB January Time Offset:0.0,./data/raw/attack_rwb/fsw_data_1_0.0_25.csv
1_0.0_50,Firesat_Attack_RWB,Firesat_Attack_RWB/FireSat_updated_1_0.0_50.xml_logs,2025-08-28T21:30:25.535159,2025-08-28T21:30:38.321918,602,69,134,attack_rwb,January,0.0,Firesat_Attack_RWB January Time Offset:0.0,./data/raw/attack_rwb/fsw_data_1_0.0_50.csv
1_36.0_-50,Firesat_Attack_RWB,Firesat_Attack_RWB/FireSat_updated_1_36.0_-50.xml_logs,2025-08-28T21:30:38.422829,2025-08-28T21:30:51.200900,602,69,134,attack_rwb,January,36.0,Firesat_Attack_RWB January Time Offset:36.0,./data/raw/attack_rwb/fsw_data_1_36.0_-50.csv
1_36.0_-25,Firesat_Attack_RWB,Firesat_Attack_RWB/FireSat_updated_1_36.0_-25.xml_logs,2025-08-28T21:30:51.304812,2025-08-28T21:31:04.116080,602,69,134,attack_rwb,January,36.0,Firesat_Attack_RWB January Time Offset:36.0,./data/raw/attack_rwb/fsw_data_1_36.0_-25.csv
1_36.0_0,Firesat_Attack_RWB,Firesat_Attack_RWB/FireSat_updated_1_36.0_0.xml_logs,2025-08-28T21:31:04.209332,2025-08-28T21:31:16.969183,602,69,134,attack_rwb,January,36.0,Firesat_Attack_RWB January Time Offset:36.0,./data/raw/attack_rwb/fsw_data_1_36.0_0.csv
1_36.0_25,Firesat_Attack_RWB,Firesat_Attack_RWB/FireSat_updated_1_36.0_25.xml_logs,2025-08-28T21:31:17.069173,2025-08-28T21:31:29.832538,602,69,134,attack_rwb,January,36.0,Firesat_Attack_RWB January Time Offset:36.0,./data/raw/attack_rwb/fsw_data_1_36.0_25.csv
1_36.0_50,Firesat_Attack_RWB,Firesat_Attack_RWB/FireSat_updated_1_36.0_50.xml_logs,2025-08-28T21:31:29.937275,2025-08-28T21:31:42.702893,602,69,134,attack_rwb,January,36.0,Firesat_Attack_RWB January Time Offset:36.0,./data/raw/attack_rwb/fsw_data_1_36.0_50.csv
1_72.0_-50,Firesat_Attack_RWB,Firesat_Attack_RWB/FireSat_updated_1_72.0_-50.xml_logs,2025-08-28T21:31:42.802579,2025-08-28T21:31:55.571602,602,69,134,attack_rwb,January,72.0,Firesat_Attack_RWB January Time Offset:72.0,./data/raw/attack_rwb/fsw_data_1_72.0_-50.csv
1_72.0_-25,Firesat_Attack_RWB,Firesat_Attack_RWB/FireSat_updated_1_72.0_-25.xml_logs,2025-08-28T21:31:55.668610,2025-08-28T21:32:08.414306,602,69,134,attack_rwb,January,72.0,Firesat_Attack_RWB January Time Offset:72.0,./data/raw/attack_rwb/fsw_data_1_72.0_-25.csv
1_72.0_0,Firesat_Attack_RWB,Firesat_Attack_RWB/FireSat_updated_1_72.0_0.xml_logs,2025-08-28T21:32:08.513242,2025-08-28T21:32:20.288509,602,69,134,attack_rwb,January,72.0,Firesat_Attack_RWB January Time Offset:72.0,./data/raw/attack_rwb/fsw_data_1_72.0_0.csv
1_72.0_25,Firesat_Attack_RWB,Firesat_Attack_RWB/FireSat_updated_1_72.0_25.xml_logs,2025-08-28T21:32:20.392025,2025-08-28T21:32:32.185664,602,69,134,attack_rwb,January,72.0,Firesat_Attack_RWB January Time Offset:72.0,./data/raw/attack_rwb/fsw_data_1_72.0_25.csv
1_72.0_50,Firesat_Attack_RWB,Firesat_Attack_RWB/FireSat_updated_1_72.0_50.xml_logs,2025-08-28T21:32:32.292202,2025-08-28T21:32:44.046498,602,69,134,attack_rwb,January,72.0,Firesat_Attack_RWB January Time Offset:72.0,./data/raw/attack_rwb/fsw_data_1_72.0_50.csv
1_108.0_-50,Firesat_Attack_RWB,Firesat_Attack_RWB/FireSat_updated_1_108.0_-50.xml_logs,2025-08-28T21:32:44.147103,2025-08-28T21:32:55.890723,602,69,134,attack_rwb,January,108.0,Firesat_Attack_RWB January Time Offset:108.0,./data/raw/attack_rwb/fsw_data_1_108.0_-50.csv
1_108.0_-25,Firesat_Attack_RWB,Firesat_Attack_RWB/FireSat_updated_1_108.0_-25.xml_logs,2025-08-28T21:32:55.987857,2025-08-28T21:33:07.737381,602,69,134,attack_rwb,January,108.0,Firesat_Attack_RWB January Time Offset:108.0,./data/raw/attack_rwb/fsw_data_1_108.0_-25.csv
1_108.0_0,Firesat_Attack_RWB,Firesat_Attack_RWB/FireSat_updated_1_108.0_0.xml_logs,2025-08-28T21:33:07.838069,2025-08-28T21:33:19.574892,602,69,134,attack_rwb,January,108.0,Firesat_Attack_RWB January Time Offset:108.0,./data/raw/attack_rwb/fsw_data_1_108.0_0.csv
1_108.0_25,Firesat_Attack_RWB,Firesat_Attack_RWB/FireSat_updated_1_108.0_25.xml_logs,2025-08-28T21:33:19.676315,2025-08-28T21:33:31.440574,602,69,134,attack_rwb,January,108.0,Firesat_Attack_RWB January Time Offset:108.0,./data/raw/attack_rwb/fsw_data_1_108.0_25.csv
