Variant_name,Run_Batch,Variant_path,date_created,date_loaded,FSW_rows,Simulation_columns,FSW_columns,Scenario,Month,Time_offset,Description,data_file
1_0.0_-50,Firesat_Attack_RWC,Firesat_Attack_RWC/FireSat_updated_1_0.0_-50.xml_logs,2025-08-29T00:48:31.190049,2025-08-29T00:48:42.967087,602,69,134,attack_rwc,January,0.0,Firesat_Attack_RWC January Time Offset:0.0,./data/raw/attack_rwc/fsw_data_1_0.0_-50.csv
1_0.0_-25,Firesat_Attack_RWC,Firesat_Attack_RWC/FireSat_updated_1_0.0_-25.xml_logs,2025-08-29T00:48:43.063243,2025-08-29T00:48:54.847144,602,69,134,attack_rwc,January,0.0,Firesat_Attack_RWC January Time Offset:0.0,./data/raw/attack_rwc/fsw_data_1_0.0_-25.csv
1_0.0_0,Firesat_Attack_RWC,Firesat_Attack_RWC/FireSat_updated_1_0.0_0.xml_logs,2025-08-29T00:48:54.943262,2025-08-29T00:49:07.719466,602,69,134,attack_rwc,January,0.0,Firesat_Attack_RWC January Time Offset:0.0,./data/raw/attack_rwc/fsw_data_1_0.0_0.csv
1_0.0_25,Firesat_Attack_RWC,Firesat_Attack_RWC/FireSat_updated_1_0.0_25.xml_logs,2025-08-29T00:49:07.818509,2025-08-29T00:49:19.555942,602,69,134,attack_rwc,January,0.0,Firesat_Attack_RWC January Time Offset:0.0,./data/raw/attack_rwc/fsw_data_1_0.0_25.csv
1_0.0_50,Firesat_Attack_RWC,Firesat_Attack_RWC/FireSat_updated_1_0.0_50.xml_logs,2025-08-29T00:49:19.649369,2025-08-29T00:49:31.394271,602,69,134,attack_rwc,January,0.0,Firesat_Attack_RWC January Time Offset:0.0,./data/raw/attack_rwc/fsw_data_1_0.0_50.csv
1_36.0_-50,Firesat_Attack_RWC,Firesat_Attack_RWC/FireSat_updated_1_36.0_-50.xml_logs,2025-08-29T00:49:31.492784,2025-08-29T00:49:44.242688,602,69,134,attack_rwc,January,36.0,Firesat_Attack_RWC January Time Offset:36.0,./data/raw/attack_rwc/fsw_data_1_36.0_-50.csv
1_36.0_-25,Firesat_Attack_RWC,Firesat_Attack_RWC/FireSat_updated_1_36.0_-25.xml_logs,2025-08-29T00:49:44.344314,2025-08-29T00:49:57.127066,602,69,134,attack_rwc,January,36.0,Firesat_Attack_RWC January Time Offset:36.0,./data/raw/attack_rwc/fsw_data_1_36.0_-25.csv
1_36.0_0,Firesat_Attack_RWC,Firesat_Attack_RWC/FireSat_updated_1_36.0_0.xml_logs,2025-08-29T00:49:57.234366,2025-08-29T00:50:10.015803,602,69,134,attack_rwc,January,36.0,Firesat_Attack_RWC January Time Offset:36.0,./data/raw/attack_rwc/fsw_data_1_36.0_0.csv
1_36.0_25,Firesat_Attack_RWC,Firesat_Attack_RWC/FireSat_updated_1_36.0_25.xml_logs,2025-08-29T00:50:10.112100,2025-08-29T00:50:22.846968,602,69,134,attack_rwc,January,36.0,Firesat_Attack_RWC January Time Offset:36.0,./data/raw/attack_rwc/fsw_data_1_36.0_25.csv
1_36.0_50,Firesat_Attack_RWC,Firesat_Attack_RWC/FireSat_updated_1_36.0_50.xml_logs,2025-08-29T00:50:22.938878,2025-08-29T00:50:35.688794,602,69,134,attack_rwc,January,36.0,Firesat_Attack_RWC January Time Offset:36.0,./data/raw/attack_rwc/fsw_data_1_36.0_50.csv
